,Регион,ФО,"Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, % от впервые выявленных","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетом году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетном году, % от впервые выявленных","В том числе с использованием методов только хирургического, %","В том числе с использованием методов только лучевого, %","В том числе с использованием методов только лекарственного, %","В том числе с использованием методов комбинированного или комплексного (кроме химиолучевого), %","В том числе с использованием методов химиолучевого, %",Индикатор,Локализация,Таблица,Тип данных
1416,Кировская область,ПРИВОЛЖСКИЙ ФО,389,66.6,150,25.7,46.3,0.0,0.0,53.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1417,Самарская область,ПРИВОЛЖСКИЙ ФО,992,59.2,312,18.6,39.8,0.0,0.0,60.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1418,Оренбургская область,ПРИВОЛЖСКИЙ ФО,471,45.1,458,43.9,41.0,0.0,0.0,58.8,0.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1419,Пензенская область,ПРИВОЛЖСКИЙ ФО,457,69.6,130,19.8,19.9,0.0,0.0,80.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1420,Пермский край,ПРИВОЛЖСКИЙ ФО,662,58.8,300,26.6,28.5,0.0,0.0,71.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1421,Саратовская область,ПРИВОЛЖСКИЙ ФО,812,62.4,197,15.1,44.3,0.0,0.0,55.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1422,Ульяновская область,ПРИВОЛЖСКИЙ ФО,390,62.2,177,28.2,7.2,0.0,0.0,92.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1423,Республика Башкортостан,ПРИВОЛЖСКИЙ ФО,1215,72.5,163,9.7,42.5,0.0,0.0,57.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1424,Республика Марий Эл,ПРИВОЛЖСКИЙ ФО,94,33.0,114,40.0,39.4,0.0,0.0,60.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1425,Республика Мордовия,ПРИВОЛЖСКИЙ ФО,263,79.5,29,8.8,14.8,0.0,0.0,85.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1426,Республика Татарстан,ПРИВОЛЖСКИЙ ФО,838,39.7,918,43.5,51.7,0.0,0.0,48.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1427,Республика Удмуртия,ПРИВОЛЖСКИЙ ФО,382,59.2,146,22.6,6.0,0.0,0.0,94.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
